"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"82",4,5,4,9,4,5,10,4,4,2,6,2,8,2,4,5,3,3,8,5,7,4,0,8,9,6,2,8,2,9,5,1,6,7,1,5,5,1,9,3,3,4,4,7,1,3,5,9,1,6,8,6,4,0,4,6,4,2,5,3,2,5,5,1,3,6,5,3,4,5,2,4,4,3,7,5,2,2,6,2,2,5,4,0,1,4,3,7,3,5,4,11,3,1,5,6,4,2,2,5
"83",2,3,3,3,2,3,4,1,2,0,1,0,1,1,1,3,0,0,4,4,3,2,6,4,1,1,2,1,3,2,1,2,2,3,3,1,3,0,2,3,1,2,3,5,0,7,2,3,1,2,4,0,1,3,4,2,1,1,1,3,1,0,8,1,1,1,1,3,2,4,4,1,0,2,2,1,3,5,0,3,3,0,3,0,0,1,2,4,1,2,1,2,0,2,4,2,1,1,1,7
"84",522,493,257,508,466,600,484,469,509,411,458,481,548,377,469,427,427,208,552,490,525,507,405,436,508,469,417,463,411,535,586,501,466,529,424,437,547,469,501,498,541,473,411,604,140,514,439,496,444,438,526,513,424,494,504,466,424,441,506,507,454,565,1146,262,531,476,494,257,481,595,461,471,312,567,496,586,530,269,523,427,482,503,524,192,108,424,592,438,279,482,659,1090,568,451,451,454,417,478,337,1052
"85",3,1,0,1,2,1,1,2,1,1,2,2,2,2,2,1,1,0,1,2,3,3,0,1,1,5,0,0,2,4,1,2,1,6,1,2,1,2,3,1,3,0,2,1,0,1,2,4,2,0,2,1,0,0,0,1,0,0,0,2,1,1,4,0,1,2,0,0,3,1,4,2,0,0,2,1,1,3,1,2,2,2,4,0,1,0,1,1,3,1,2,8,1,2,3,3,2,1,2,6
"86",22,25,12,13,25,20,11,9,12,27,11,19,14,12,9,13,16,4,14,11,24,16,17,10,15,13,14,16,15,16,16,16,17,23,22,10,20,26,22,16,15,16,16,21,6,16,16,25,24,14,23,18,12,26,20,17,12,18,24,17,11,20,33,5,19,18,24,20,26,26,23,15,7,27,18,16,19,13,19,18,22,19,20,9,3,12,15,14,10,16,32,41,19,16,12,7,19,14,14,41
"87",137,164,86,141,168,201,119,104,153,118,116,158,147,99,104,101,123,58,146,123,160,151,117,113,154,115,135,110,109,137,139,128,146,205,132,108,133,414,124,126,131,141,100,151,37,147,147,139,147,141,137,133,191,146,136,146,191,144,152,120,141,172,325,67,123,135,127,164,167,146,145,138,79,169,119,139,145,85,173,184,141,125,108,67,33,191,187,122,110,119,197,281,187,132,129,132,121,136,91,290
"88",8,24,9,7,18,32,13,15,15,17,9,31,12,3,15,13,15,7,14,13,16,12,9,5,7,13,14,14,16,12,14,8,21,18,12,7,8,12,12,14,11,8,11,13,4,15,13,19,20,12,20,14,19,13,11,21,19,16,23,18,12,8,36,9,18,9,29,15,25,18,24,7,8,18,11,14,10,13,17,13,14,16,18,1,1,19,22,14,9,17,34,32,17,18,10,9,15,15,15,24
"89",2,2,0,0,4,2,0,1,4,1,3,7,6,0,1,1,0,3,3,6,3,3,2,5,3,4,5,2,2,2,2,3,1,4,2,3,1,5,1,3,4,4,3,6,1,6,4,5,5,0,1,0,4,3,1,1,4,2,5,2,2,5,4,2,3,6,3,1,2,1,3,2,1,4,3,2,0,3,1,2,4,3,3,3,0,4,3,0,3,1,6,4,1,1,4,5,0,3,0,7
"90",2,4,0,1,3,8,2,1,3,5,1,3,2,1,1,2,3,1,5,4,2,5,4,2,1,3,2,0,4,3,1,4,5,6,3,1,3,5,1,2,3,3,4,1,1,1,1,2,4,0,6,2,0,4,2,5,0,4,2,3,3,3,4,4,4,3,6,1,3,4,3,3,2,6,0,1,5,3,3,2,2,5,3,0,0,0,4,0,2,4,3,9,1,3,0,2,3,1,3,4
"91",34,45,18,20,43,68,24,23,42,32,32,34,48,23,23,25,32,14,29,26,45,23,37,18,30,36,36,30,42,39,24,23,45,53,41,11,29,61,29,30,44,37,41,23,11,32,39,39,43,35,34,35,43,41,34,45,43,58,43,34,29,25,70,20,27,24,34,27,53,52,43,27,23,53,29,24,24,33,32,36,36,17,38,9,6,43,42,42,28,19,59,71,64,32,40,30,30,45,25,66
"92",307,324,157,226,327,416,213,202,313,301,206,294,301,196,202,235,260,82,270,230,320,321,244,205,313,254,242,240,274,294,247,246,337,368,281,139,230,510,214,325,294,252,244,263,101,293,338,290,255,226,309,299,299,283,284,337,299,328,322,249,241,254,677,142,225,292,283,278,372,412,293,216,197,378,233,247,294,187,245,336,249,250,287,96,51,299,341,256,176,189,470,495,378,302,272,255,245,277,229,539
"93",46,41,33,40,34,47,50,32,60,27,40,44,41,33,32,46,25,17,35,53,47,51,47,44,52,37,43,29,35,42,64,39,44,53,38,36,53,31,37,32,44,44,27,37,8,39,27,44,45,50,31,49,29,47,55,44,29,41,49,34,41,57,80,21,57,37,48,17,58,44,47,48,23,48,33,64,56,27,53,83,37,46,45,10,7,29,35,37,20,49,50,90,50,46,54,43,36,37,19,93
"94",26,20,10,6,17,21,5,10,17,17,12,12,19,12,10,7,13,6,10,10,8,21,14,13,10,17,14,17,12,11,13,9,17,19,22,7,13,16,5,15,19,9,16,7,6,21,13,18,19,18,25,15,21,16,21,17,21,14,21,19,14,10,31,12,12,16,13,8,18,25,16,10,2,22,15,13,21,10,9,20,11,18,16,3,4,21,10,11,12,20,16,38,17,18,16,9,11,20,12,25
"95",14,19,5,13,13,19,15,8,15,12,9,13,11,11,8,6,10,4,17,11,10,11,6,15,10,13,9,12,13,12,16,13,5,17,10,16,14,21,19,13,18,13,9,22,1,20,17,14,17,18,10,22,12,19,8,5,12,16,15,11,13,21,31,4,18,14,13,15,13,10,18,12,9,11,15,16,21,6,17,17,5,13,9,4,2,12,17,13,9,14,18,26,20,12,14,8,18,8,8,29
